电表编号,读数,抄表时间,倍率
20240001,1250.50,2026-06-01 08:30:00,40
20240002,2380.75,2026-06-01 08:31:00,60
20240015,890.25,2026-06-01 08:32:00,80
20240003,1560.00,2026-06-01 08:33:00,40
20240004,3200.50,2026-06-01 08:34:00,50
20240005,450.75,2026-06-01 08:35:00,30
20240006,2100.25,2026-06-01 08:36:00,45
20240007,1890.00,2026-06-01 08:37:00,55
20240008,950.50,2026-06-01 08:38:00,35
20240009,2780.25,2026-06-01 08:39:00,65
20240010,1650.75,2026-06-01 08:40:00,40
2024015X,2340.00,2026-06-01 08:41:00,50
20240012,-150.50,2026-06-01 08:42:00,40
20240013,1890.25,2025-12-01 08:43:00,45
,2560.75,2026-06-01 08:44:00,50
20240016,3100.00,2026-06-01 08:45:00,0
20240017,1450.25,2026-06-02 09:00:00,40
20240018,2780.50,2026-06-02 09:01:00,55
20240019,920.75,2026-06-02 09:02:00,35
20240020,3450.00,2026-06-02 09:03:00,60
